id,user_id,doubt_id,created_at,activity_type,user_type
2200930,452767,252982,2020-01-09 13:23:18 UTC,resolve,Student
2201041,39680,250939,2020-01-09 13:27:05 UTC,resolve,Student
2201374,92901,252436,2020-01-09 13:41:37 UTC,resolve,Student
2201394,376576,252804,2020-01-09 13:42:02 UTC,resolve,Student
2201441,196803,249365,2020-01-09 13:43:22 UTC,resolve,Student
2201465,52793,251971,2020-01-09 13:45:12 UTC,resolve,Student
2201642,355752,252677,2020-01-09 13:55:15 UTC,resolve,Student
2201659,170567,252482,2020-01-09 13:56:17 UTC,resolve,Student
2201691,52793,251821,2020-01-09 13:58:15 UTC,resolve,Student
2201707,355752,252641,2020-01-09 13:59:17 UTC,resolve,Student
2201732,289354,252563,2020-01-09 14:00:37 UTC,resolve,Student
2201736,487441,248877,2020-01-09 14:00:41 UTC,resolve,Student
2201778,492434,250795,2020-01-09 14:02:29 UTC,resolve,Student
2201795,92901,253084,2020-01-09 14:03:43 UTC,resolve,Student
2201834,279096,253198,2020-01-09 14:05:14 UTC,resolve,Student
2201981,262703,249900,2020-01-09 14:11:45 UTC,resolve,Student
2202054,36296,252124,2020-01-09 14:17:02 UTC,resolve,Student
2202076,491047,253179,2020-01-09 14:18:10 UTC,resolve,Student
2202089,36296,252125,2020-01-09 14:19:08 UTC,resolve,Student
2202096,36296,252123,2020-01-09 14:19:43 UTC,resolve,Student
2202110,331375,253001,2020-01-09 14:20:32 UTC,resolve,Student
2202158,289354,252621,2020-01-09 14:24:44 UTC,resolve,Student
2202192,310115,250765,2020-01-09 14:26:44 UTC,resolve,Student
2202226,205381,252735,2020-01-09 14:29:04 UTC,resolve,Student
2202345,294653,252067,2020-01-09 14:37:08 UTC,resolve,Student
2202402,327307,252654,2020-01-09 14:41:28 UTC,resolve,Student
2202479,175836,252967,2020-01-09 14:44:00 UTC,resolve,Student
2202572,311392,251393,2020-01-09 14:48:55 UTC,resolve,Student
2202604,11132,252817,2020-01-09 14:50:39 UTC,resolve,Student
2202680,316424,253063,2020-01-09 14:55:06 UTC,resolve,Student
2202756,272800,248689,2020-01-09 15:00:47 UTC,resolve,Student
2202776,294205,252581,2020-01-09 15:02:12 UTC,resolve,Student
2202787,40997,252539,2020-01-09 15:03:01 UTC,resolve,Student
2202925,213475,252974,2020-01-09 15:10:29 UTC,resolve,Student
2203023,168198,250713,2020-01-09 15:15:03 UTC,resolve,Student
2203036,168198,250716,2020-01-09 15:15:23 UTC,resolve,Student
2203095,351448,252576,2020-01-09 15:18:18 UTC,resolve,Student
2203190,357687,252715,2020-01-09 15:22:34 UTC,resolve,Student
2203201,379269,252243,2020-01-09 15:23:03 UTC,resolve,Student
2203428,231342,252565,2020-01-09 15:34:11 UTC,resolve,Student
2203834,327151,253077,2020-01-09 15:51:24 UTC,resolve,Student
